实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-导线-导线号,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-导线-方位角,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-导线-斜距(L),实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-导线-坡角±(β),实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-导线-平距（M）,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-导线-高差（m）,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-累计-平距（m）,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-累计-高差±(h),实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-产状-倾向/倾角α,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-导线与走向间夹角（γ）-导线与走向间夹角（γ）,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-真厚度(D)-真厚度(D),实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-分层-代号,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-分层-厚度,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-地质描述-地质描述,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-地质描述-地质描述.1,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-地质描述-地质描述.2,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-地质描述-地质描述.3,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-样品-编号/位置,实测地质剖面记录表-起点坐标X：Y：Z：第页/总页-备注-备注
1,2,3,4,5,6,7,8,9,10,11,12,13,14,14,14,14,15,16
2-3,15º,50m,+2º,,,,,,,,,,"①0-6.5m,岩性为安山岩，描述同上 ②6.5-50m,岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。","①0-6.5m,岩性为安山岩，描述同上 ②6.5-50m,岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。 ","①0-6.5m,岩性为安山岩，描述同上 ②6.5-50m,岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。 ","①0-6.5m,岩性为安山岩，描述同上 ②6.5-50m,岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。 ",B023/34.7m,
3-4,5º,13m,-1º,,,,,,,,,,0-13m，岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。,0-13m，岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。,0-13m，岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。,0-13m，岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。,,
4-5,15º,50m,-5º,,,,,,,,,,"0-50m,岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。","0-50m,岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。","0-50m,岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。","0-50m,岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。",,
5-6,50º,50m,+5º,,,,,,,,,,"0-50m,岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。","0-50m,岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。","0-50m,岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。","0-50m,岩性为粉砂岩，灰绿色粉砂质结构，块状构造，石英含量约为80%，见少量黑云母，呈细鳞片状，含量约为1%，胶结物以泥质为主。",,
6-7,50º,50m,+10º,,,,,,,,,,"0-50m,地表均被稻田覆盖，未见基岩出露，滚石岩性为粉砂岩","0-50m,地表均被稻田覆盖，未见基岩出露，滚石岩性为粉砂岩","0-50m,地表均被稻田覆盖，未见基岩出露，滚石岩性为粉砂岩","0-50m,地表均被稻田覆盖，未见基岩出露，滚石岩性为粉砂岩",,
7-8,45º,50m,+10º,,,,,,,,,,"0-38m,岩性为石英砂岩，沙状结构，块状构造，石英颗粒粒径2mm-5mm,有次生加大现象，胶结物以硅质为主，含少量泥质。","0-38m,岩性为石英砂岩，沙状结构，块状构造，石英颗粒粒径2mm-5mm,有次生加大现象，胶结物以硅质为主，含少量泥质。","0-38m,岩性为石英砂岩，沙状结构，块状构造，石英颗粒粒径2mm-5mm,有次生加大现象，胶结物以硅质为主，含少量泥质。","0-38m,岩性为石英砂岩，沙状结构，块状构造，石英颗粒粒径2mm-5mm,有次生加大现象，胶结物以硅质为主，含少量泥质。",B024/7m  B025/47m,
8-9,40º,33m,-2º,,,,,,,,,,"①38-50m，岩性为中粗粒花岗岩，花岗结构，块状构造，主要成分为石英（15%左右），具有次生加大现象，粒径为2mm-8mm,长石已被绢云母、高岭石所交代，难以区分为何种长石。②0-33m,岩性为中粗粒花岗岩，花岗结构，块状构造，主要成分为石英（15%左右），具有次生加大现象，粒径为2mm-8mm,长石已被绢云母、高岭石所交代，难以区分为何种长石。在25m处可见较大的石英砂岩角砾，直径5cm-20cm,具有碎裂结构","①38-50m，岩性为中粗粒花岗岩，花岗结构，块状构造，主要成分为石英（15%左右），具有次生加大现象，粒径为2mm-8mm,长石已被绢云母、高岭石所交代，难以区分为何种长石。②0-33m,岩性为中粗粒花岗岩，花岗结构，块状构造，主要成分为石英（15%左右），具有次生加大现象，粒径为2mm-8mm,长石已被绢云母、高岭石所交代，难以区分为何种长石。在25m处可见较大的石英砂岩角砾，直径5cm-20cm,具有碎裂结构","①38-50m，岩性为中粗粒花岗岩，花岗结构，块状构造，主要成分为石英（15%左右），具有次生加大现象，粒径为2mm-8mm,长石已被绢云母、高岭石所交代，难以区分为何种长石。②0-33m,岩性为中粗粒花岗岩，花岗结构，块状构造，主要成分为石英（15%左右），具有次生加大现象，粒径为2mm-8mm,长石已被绢云母、高岭石所交代，难以区分为何种长石。在25m处可见较大的石英砂岩角砾，直径5cm-20cm,具有碎裂结构","①38-50m，岩性为中粗粒花岗岩，花岗结构，块状构造，主要成分为石英（15%左右），具有次生加大现象，粒径为2mm-8mm,长石已被绢云母、高岭石所交代，难以区分为何种长石。②0-33m,岩性为中粗粒花岗岩，花岗结构，块状构造，主要成分为石英（15%左右），具有次生加大现象，粒径为2mm-8mm,长石已被绢云母、高岭石所交代，难以区分为何种长石。在25m处可见较大的石英砂岩角砾，直径5cm-20cm,具有碎裂结构",B026/27m,
9-10,85º,28m,+16º,,,,,,,,,,0-28m，地表为稻田所覆盖，未见基岩出露,0-28m，地表为稻田所覆盖，未见基岩出露 ,0-28m，地表为稻田所覆盖，未见基岩出露 ,0-28m，地表为稻田所覆盖，未见基岩出露 ,B027/12m  B028/5m,
10-11,100º,50m,+11º,,,,,,,,,,0-50m，岩性为英安玢岩，灰白—浅黄色,0-50m，岩性为英安玢岩，灰白—浅黄色,0-50m，岩性为英安玢岩，灰白—浅黄色,0-50m，岩性为英安玢岩，灰白—浅黄色,,
11-12,80º,50m,+10º,,,,,,,,,,0-50m，岩性为英安玢岩，灰白—浅黄色,0-50m，岩性为英安玢岩，灰白—浅黄色,0-50m，岩性为英安玢岩，灰白—浅黄色,0-50m，岩性为英安玢岩，灰白—浅黄色,B029∕2m  B030∕14.5m,
12-13,70º,32m,-25º,,,,,,,,,,"0-30m,岩性为英安玢岩，灰白—浅黄色;30-32m,岩性为中粗粒花岗岩","0-30m,岩性为英安玢岩，灰白—浅黄色;30-32m,岩性为中粗粒花岗岩","0-30m,岩性为英安玢岩，灰白—浅黄色;30-32m,岩性为中粗粒花岗岩","0-30m,岩性为英安玢岩，灰白—浅黄色;30-32m,岩性为中粗粒花岗岩",,
13-14,15º,20m,,,,,,,,,,,"0-20m,岩性为中粗粒花岗岩","0-20m,岩性为中粗粒花岗岩","0-20m,岩性为中粗粒花岗岩","0-20m,岩性为中粗粒花岗岩",,
14-15,70º,39m,,,,,,,,,,,"0-39m,岩性为中粗粒花岗岩","0-39m,岩性为中粗粒花岗岩","0-39m,岩性为中粗粒花岗岩","0-39m,岩性为中粗粒花岗岩","B031∕7,5m",
15-16,60º,28m,+10º,,,,,,,,,,,,,,,
16-17,75º,50m,+5º,,,,,,,,,,"0-50m,岩性为中粗粒花岗岩","0-50m,岩性为中粗粒花岗岩","0-50m,岩性为中粗粒花岗岩","0-50m,岩性为中粗粒花岗岩","B032,B033/19m   B034/23m  B035/48m",
17-18,75º,50m,-3º,,,,,,,,,,,,,,B036/32m,
18-19,60º,42m,-5º,,,,,,,,,,"0-42m,地表为植被所覆盖，未见基岩出露，滚石岩性为中粗粒花岗岩","0-42m,地表为植被所覆盖，未见基岩出露，滚石岩性为中粗粒花岗岩","0-42m,地表为植被所覆盖，未见基岩出露，滚石岩性为中粗粒花岗岩","0-42m,地表为植被所覆盖，未见基岩出露，滚石岩性为中粗粒花岗岩",,
19-20,45º,50m,+5º,,,,,,,,,,,,,,,
20-21,45º,10m,-5º,,,,,,,,,,"0-5.6m,岩性为中粗粒花岗岩；5.6-10m,岩性为英安玢岩，灰白-深灰色","0-5.6m,岩性为中粗粒花岗岩；5.6-10m,岩性为英安玢岩，灰白-深灰色","0-5.6m,岩性为中粗粒花岗岩；5.6-10m,岩性为英安玢岩，灰白-深灰色","0-5.6m,岩性为中粗粒花岗岩；5.6-10m,岩性为英安玢岩，灰白-深灰色",B037/5.6m,
21-22,20º,24m,-2º,,,,,,,,,,"0-20m,植被覆盖严重，未见基岩出露，滚石岩性为英安玢岩","0-20m,植被覆盖严重，未见基岩出露，滚石岩性为英安玢岩","0-20m,植被覆盖严重，未见基岩出露，滚石岩性为英安玢岩","0-20m,植被覆盖严重，未见基岩出露，滚石岩性为英安玢岩",,
22-23,60º,26m,+2º,,,,,,,,,,"0-26m,植被覆盖严重，未见基岩出露，滚石岩性为英安玢岩","0-26m,植被覆盖严重，未见基岩出露，滚石岩性为英安玢岩","0-26m,植被覆盖严重，未见基岩出露，滚石岩性为英安玢岩","0-26m,植被覆盖严重，未见基岩出露，滚石岩性为英安玢岩",,
,,,,,,,,,,,,,,,,,,
23-24,0º,50m,+5º,,,,,,,,,,"0-7.3m,岩性为英安玢岩;7.3-50m,岩性为中粗粒花岗岩"," 0-7.3m,岩性为英安玢岩;7.3-50m,岩性为中粗粒花岗岩 "," 0-7.3m,岩性为英安玢岩;7.3-50m,岩性为中粗粒花岗岩 "," 0-7.3m,岩性为英安玢岩;7.3-50m,岩性为中粗粒花岗岩 ",B038/14m,
24-25,80º,25m,+3 º,,,,,,,,,,"0-20m,植被覆盖严重，未见基岩出露","0-20m,植被覆盖严重，未见基岩出露","0-20m,植被覆盖严重，未见基岩出露","0-20m,植被覆盖严重，未见基岩出露",,
25-26,50º,40m,+3º,,,,,,,,,,"0-40m,植被覆盖严重，未见基岩出露,滚石岩性为英安玢岩","0-40m,植被覆盖严重，未见基岩出露,滚石岩性为英安玢岩","0-40m,植被覆盖严重，未见基岩出露,滚石岩性为英安玢岩","0-40m,植被覆盖严重，未见基岩出露,滚石岩性为英安玢岩",B039/36m,
26-27,60º,26m,-6º,,,,,,,,,,,,,,B040/11.6m,
27-28,55º,50m,-10º,,,,,,,,,,,,,,,
28-29,55º,28m,+3 º,,,,,,,,,,"0-55m,岩性为隐爆角砾岩","0-55m,岩性为隐爆角砾岩","0-55m,岩性为隐爆角砾岩","0-55m,岩性为隐爆角砾岩",B041/12.5m,
29-30,30º,50m,+10º,,,,,,,,,,,,,,,
30-31,45 º,44m,+13º,,,,,,,,,,,,,,,
31-32,15º,42m,+18º,,,,,,,,,,,,,,,
32-33,25º,35m,+14º,,,,,,,,,,"0-25m,岩性为隐爆角砾岩","0-25m,岩性为隐爆角砾岩","0-25m,岩性为隐爆角砾岩","0-25m,岩性为隐爆角砾岩",B042/21m,225º∠61º
33-34,15º,45m,+10º,,,,,,,,,,未见基岩,未见基岩,未见基岩,未见基岩,,
34-35,25º,50m,+7º,,,,,,,,,,,,,,,
35-36,45º,35m,-3º,,,,,,,,,,,,,,B043/34.5m,
36-37,5º,50m,+7º,,,,,,,,,,,,,,B044/23m,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
注：M＝ L×cosβ； h＝ L×sinβ ； D＝L×(sinα×cosβ×sinγ±cosα×sinβ) 式中岩层倾向与地形坡向相反时用＋号，反之用－号。,注：M＝ L×cosβ； h＝ L×sinβ ； D＝L×(sinα×cosβ×sinγ±cosα×sinβ) 式中岩层倾向与地形坡向相反时用＋号，反之用－号。,注：M＝ L×cosβ； h＝ L×sinβ ； D＝L×(sinα×cosβ×sinγ±cosα×sinβ) 式中岩层倾向与地形坡向相反时用＋号，反之用－号。,注：M＝ L×cosβ； h＝ L×sinβ ； D＝L×(sinα×cosβ×sinγ±cosα×sinβ) 式中岩层倾向与地形坡向相反时用＋号，反之用－号。,注：M＝ L×cosβ； h＝ L×sinβ ； D＝L×(sinα×cosβ×sinγ±cosα×sinβ) 式中岩层倾向与地形坡向相反时用＋号，反之用－号。,注：M＝ L×cosβ； h＝ L×sinβ ； D＝L×(sinα×cosβ×sinγ±cosα×sinβ) 式中岩层倾向与地形坡向相反时用＋号，反之用－号。,注：M＝ L×cosβ； h＝ L×sinβ ； D＝L×(sinα×cosβ×sinγ±cosα×sinβ) 式中岩层倾向与地形坡向相反时用＋号，反之用－号。,注：M＝ L×cosβ； h＝ L×sinβ ； D＝L×(sinα×cosβ×sinγ±cosα×sinβ) 式中岩层倾向与地形坡向相反时用＋号，反之用－号。,注：M＝ L×cosβ； h＝ L×sinβ ； D＝L×(sinα×cosβ×sinγ±cosα×sinβ) 式中岩层倾向与地形坡向相反时用＋号，反之用－号。,注：M＝ L×cosβ； h＝ L×sinβ ； D＝L×(sinα×cosβ×sinγ±cosα×sinβ) 式中岩层倾向与地形坡向相反时用＋号，反之用－号。,注：M＝ L×cosβ； h＝ L×sinβ ； D＝L×(sinα×cosβ×sinγ±cosα×sinβ) 式中岩层倾向与地形坡向相反时用＋号，反之用－号。,注：M＝ L×cosβ； h＝ L×sinβ ； D＝L×(sinα×cosβ×sinγ±cosα×sinβ) 式中岩层倾向与地形坡向相反时用＋号，反之用－号。,注：M＝ L×cosβ； h＝ L×sinβ ； D＝L×(sinα×cosβ×sinγ±cosα×sinβ) 式中岩层倾向与地形坡向相反时用＋号，反之用－号。,注：M＝ L×cosβ； h＝ L×sinβ ； D＝L×(sinα×cosβ×sinγ±cosα×sinβ) 式中岩层倾向与地形坡向相反时用＋号，反之用－号。,注：M＝ L×cosβ； h＝ L×sinβ ； D＝L×(sinα×cosβ×sinγ±cosα×sinβ) 式中岩层倾向与地形坡向相反时用＋号，反之用－号。,注：M＝ L×cosβ； h＝ L×sinβ ； D＝L×(sinα×cosβ×sinγ±cosα×sinβ) 式中岩层倾向与地形坡向相反时用＋号，反之用－号。,注：M＝ L×cosβ； h＝ L×sinβ ； D＝L×(sinα×cosβ×sinγ±cosα×sinβ) 式中岩层倾向与地形坡向相反时用＋号，反之用－号。,注：M＝ L×cosβ； h＝ L×sinβ ； D＝L×(sinα×cosβ×sinγ±cosα×sinβ) 式中岩层倾向与地形坡向相反时用＋号，反之用－号。,注：M＝ L×cosβ； h＝ L×sinβ ； D＝L×(sinα×cosβ×sinγ±cosα×sinβ) 式中岩层倾向与地形坡向相反时用＋号，反之用－号。
测手：              记录人：                     计算人：                    检查人：             组长：       年    月    日,      测手：              记录人：                     计算人：                    检查人：             组长：       年    月    日,      测手：              记录人：                     计算人：                    检查人：             组长：       年    月    日,      测手：              记录人：                     计算人：                    检查人：             组长：       年    月    日,      测手：              记录人：                     计算人：                    检查人：             组长：       年    月    日,      测手：              记录人：                     计算人：                    检查人：             组长：       年    月    日,      测手：              记录人：                     计算人：                    检查人：             组长：       年    月    日,      测手：              记录人：                     计算人：                    检查人：             组长：       年    月    日,      测手：              记录人：                     计算人：                    检查人：             组长：       年    月    日,      测手：              记录人：                     计算人：                    检查人：             组长：       年    月    日,      测手：              记录人：                     计算人：                    检查人：             组长：       年    月    日,      测手：              记录人：                     计算人：                    检查人：             组长：       年    月    日,      测手：              记录人：                     计算人：                    检查人：             组长：       年    月    日,      测手：              记录人：                     计算人：                    检查人：             组长：       年    月    日,      测手：              记录人：                     计算人：                    检查人：             组长：       年    月    日,      测手：              记录人：                     计算人：                    检查人：             组长：       年    月    日,      测手：              记录人：                     计算人：                    检查人：             组长：       年    月    日,      测手：              记录人：                     计算人：                    检查人：             组长：       年    月    日,      测手：              记录人：                     计算人：                    检查人：             组长：       年    月    日
